Output Noise (V^2/Hz) (timeindex=6e-09) X,Output Noise (V^2/Hz) (timeindex=6e-09) Y
1,8.295026047314654e-17
1.737800828749376,8.295026047314458e-17
3.019951720402017,8.295026047313897e-17
5.248074602497727,8.295026047312731e-17
9.1201083935591,8.295026047308627e-17
15.84893192461114,8.295026047296536e-17
27.54228703338168,8.29502604725969e-17
47.86300923226386,8.295026047148806e-17
83.17637711026714,8.295026046813752e-17
144.5439770745928,8.295026045802086e-17
251.1886431509581,8.29502604274676e-17
436.5158322401662,8.29502603351987e-17
758.5775750291842,8.29502600565505e-17
1318.256738556408,8.295025921504686e-17
2290.867652767775,8.295025667374592e-17
3981.071705534976,8.295024899914203e-17
6918.309709189371,8.295022582221606e-17
12022.64434617414,8.295015582910718e-17
20892.96130854042,8.294994445408692e-17
36307.80547701018,8.294930611893536e-17
63095.73444801941,8.29473784432605e-17
109647.8196143187,8.294155755467786e-17
190546.071796325,8.292398421217754e-17
331131.1214825916,8.287096331142941e-17
575439.9373371578,8.27112950433016e-17
1000000.000000002,8.223319164202153e-17
1737800.828749378,8.082560228875212e-17
3019951.720402021,7.687972779944471e-17
5248074.602497734,6.718315554241792e-17
9120108.393559111,4.947075637469782e-17
15848931.92461116,2.957531876824573e-17
27542287.03338171,1.626529344089135e-17
47863009.23226392,9.89903878825326e-18
83176377.11026727,8.313870624552664e-18
144543977.074593,6.61920880854014e-17
251188643.1509585,9.763013421012921e-18
436515832.2401669,3.497571899257402e-17
758577575.0291854,5.174274737543808e-17
1318256738.55641,1.410071221186828e-17
2290867652.767778,1.120848797333596e-17
3981071705.534982,8.293052988397613e-18
6918309709.189383,2.707612034773807e-17
