ron_n X,ron_n Y
0,2310773842.440582
0.01,1686300105.804609
0.02,1230394574.978158
0.03,897638866.3230668
0.04,654374737.4919646
0.05,477106693.099477
0.06,347786114.6495777
0.07000000000000001,253467119.3486731
0.08,184694752.8841754
0.09,134564771.7886764
0.1,98036102.52245727
0.11,71340516.60759085
0.12,51936318.3784619
0.13,37803221.41371018
0.14,27512233.69417109
0.15,20021296.26507791
0.16,14570587.41490569
0.17,10606055.7246515
0.18,7698829.736629561
0.19,5597149.924930107
0.2,4068700.90144639
0.21,2957565.568655233
0.22,2150192.992353635
0.23,1558299.293719081
0.24,1130813.297882429
0.25,820174.6889425184
0.26,594575.3118693198
0.27,430073.2627526121
0.28,310292.5299283438
0.29,223184.8325574567
0.3,159892.074963139
0.31,113751.0162838011
0.32,79692.50822895431
0.33,54275.7253940458
0.34,34653.25201163495
0.35,20113.44354542844
0.36,11396.77493541374
0.37,6596.226232769377
0.38,3931.036250617289
0.39,2419.053118371157
0.4,1539.362446391373
0.41,1013.223267324427
0.42,689.2883226842905
0.43,483.8891272655928
0.44,349.8077701383722
0.45,259.7922491687327
0.46,197.7360432711782
0.47,153.8864954391093
0.48,122.1924833528418
0.49,98.80807942197245
0.5,81.23112338222224
0.51,67.79442147646229
0.52,57.37180361449992
0.53,49.17425874334737
0.54,42.64756257490105
0.55,37.39304596265262
0.5600000000000001,33.11951000595059
0.57,29.61110459424205
0.58,26.70570591584127
0.59,24.28010675612882
0.6,22.23960474725732
0.61,20.51070673121004
0.62,19.03582624184032
0.63,17.76947432650935
0.64,16.67542246067145
0.65,15.72460684061429
0.66,14.8935447858088
0.67,14.16314187526647
0.68,13.51776690648891
0.6899999999999999,12.94454524626633
0.7,12.43281099740909
0.71,11.97366945105608
0.72,11.55965564688929
0.73,11.18447246014183
0.74,10.84276649296023
0.75,10.52995623979148
0.76,10.24209680250736
0.77,9.975761388032211
0.78,9.727950544437793
0.79,9.496023138640645
0.8,9.277634116504617
0.8100000000000001,9.070688699817374
0.82,8.873310884521524
0.83,8.683817312783225
0.84,8.500701778274452
0.85,8.323018890063562
0.86,8.149114972602543
0.87,7.978312658467318
0.88,7.809943376806793
0.89,7.643597015424396
0.9,7.479143808354279
0.91,7.316744722253124
0.92,7.156850933003722
0.93,7.000205802656873
0.9399999999999999,6.848199534159481
0.95,6.709484144161464
0.96,6.61374594406561
0.97,6.550579636149967
0.98,6.501912250586024
0.99,6.460379095513931
1,6.423138757044939
1.01,6.388873620844441
1.02,6.356852672027116
1.03,6.326810347538732
1.04,6.298259428712524
1.05,6.271054946218254
1.06,6.245061009728254
1.07,6.220258863030262
1.08,6.196442267344717
1.09,6.173546297158397
1.1,6.151514125821322
1.11,6.130211939564609
1.12,6.109799795262083
1.13,6.090082486140789
1.14,6.071033776817437
1.15,6.052625216973628
1.16,6.03470471479126
1.17,6.017552090477439
1.18,6.000927185999786
1.19,5.984817090678321
1.2,5.969205923412549
